order_number,order_date,customer_email,customer_name,product_number,product_name,quantity,subtotal
1,2024-05-19 13:11:32,david89@example.net,Dawn Turner,PROD-301097,Smartphone Message,1,1042.61
1,2024-05-19 13:11:32,david89@example.net,Dawn Turner,PROD-964952,Jeans Nation,1,54.57
1,2024-05-19 13:11:32,david89@example.net,Dawn Turner,PROD-139460,Skincare Set Organization,1,78.59
2,2023-11-12 13:11:32,desireegreen@example.net,Kristen Burnett,PROD-15678,Yoga Mat Free,3,80.46
2,2023-11-12 13:11:32,desireegreen@example.net,Kristen Burnett,PROD-251779,Basketball Notice,3,151.17
2,2023-11-12 13:11:32,desireegreen@example.net,Kristen Burnett,PROD-924513,Jeans Media,1,58.95
2,2023-11-12 13:11:32,desireegreen@example.net,Kristen Burnett,PROD-83082,Tennis Racket Foreign,3,369.51
2,2023-11-12 13:11:32,desireegreen@example.net,Kristen Burnett,PROD-589713,Comic Book Recently,1,16.24
3,2024-04-08 13:11:32,carterbryan@example.com,Sarah Olson,PROD-998264,Remote Car Even,1,110.18
3,2024-04-08 13:11:32,carterbryan@example.com,Sarah Olson,PROD-628021,Cookware Set Drive,2,519.24
3,2024-04-08 13:11:32,carterbryan@example.com,Sarah Olson,PROD-93883,Board Game After,3,85.41
3,2024-04-08 13:11:32,carterbryan@example.com,Sarah Olson,PROD-947266,Comic Book Already,3,78.15
3,2024-04-08 13:11:32,carterbryan@example.com,Sarah Olson,PROD-821753,Basketball Keep,2,88.14
4,2024-03-05 13:11:32,juangraham@example.org,James Webster,PROD-11761,Cookware Set Society,2,252.62
4,2024-03-05 13:11:32,juangraham@example.org,James Webster,PROD-930838,Laptop Can,1,1895.28
4,2024-03-05 13:11:32,juangraham@example.org,James Webster,PROD-998264,Remote Car Even,3,330.54
4,2024-03-05 13:11:32,juangraham@example.org,James Webster,PROD-685406,Headphones Capital,2,516.46
5,2024-08-28 13:11:32,hernandezsandra@example.com,Corey Gillespie,PROD-726894,T-Shirt Rule,1,30.22
5,2024-08-28 13:11:32,hernandezsandra@example.com,Corey Gillespie,PROD-218842,Action Figure Detail,1,22.98
7,2024-06-30 13:11:32,desireegreen@example.net,Kristen Burnett,PROD-225030,T-Shirt Under,3,113.1
8,2024-03-20 13:11:32,ronald98@example.net,Mrs. Rachel White,PROD-695534,Novel Best,3,33.87
8,2024-03-20 13:11:32,ronald98@example.net,Mrs. Rachel White,PROD-398932,Jacket Everybody,3,468.87
8,2024-03-20 13:11:32,ronald98@example.net,Mrs. Rachel White,PROD-897964,Dumbbells Rest,3,191.67
9,2024-10-15 13:11:32,randallharrington@example.com,Darrell Hess,PROD-15678,Yoga Mat Free,3,80.46
9,2024-10-15 13:11:32,randallharrington@example.com,Darrell Hess,PROD-751572,Headphones We,2,305.86
10,2023-12-21 13:11:32,david89@example.net,Dawn Turner,PROD-173552,Dumbbells Response,3,149.1
11,2024-08-10 13:11:32,wesley52@example.org,Christine Clark,PROD-618484,Remote Car Should,2,185.28
11,2024-08-10 13:11:32,wesley52@example.org,Christine Clark,PROD-83082,Tennis Racket Foreign,2,246.34
11,2024-08-10 13:11:32,wesley52@example.org,Christine Clark,PROD-998264,Remote Car Even,2,220.36
12,2023-11-17 13:11:32,donald05@example.org,Dawn Snow,PROD-685406,Headphones Capital,1,258.23
12,2023-11-17 13:11:32,donald05@example.org,Dawn Snow,PROD-950425,Coffee Maker Second,3,301.11
12,2023-11-17 13:11:32,donald05@example.org,Dawn Snow,PROD-675549,Hair Dryer Discuss,3,111.93
13,2024-11-11 13:11:32,dianebutler@example.net,Robert Bowen,PROD-345324,Blender Benefit,1,120.06
13,2024-11-11 13:11:32,dianebutler@example.net,Robert Bowen,PROD-844773,Coffee Maker Choice,1,39.84
13,2024-11-11 13:11:32,dianebutler@example.net,Robert Bowen,PROD-26135,Textbook Away,2,266.44
14,2024-06-14 13:11:32,twright@example.com,Jeremy Thompson,PROD-895268,Cookbook Usually,2,81.6
15,2024-07-02 13:11:32,lisa95@example.net,Mr. Danny Vance Jr.,PROD-849622,Textbook Good,3,156.48
15,2024-07-02 13:11:32,lisa95@example.net,Mr. Danny Vance Jr.,PROD-951366,Action Figure Assume,1,35.36
15,2024-07-02 13:11:32,lisa95@example.net,Mr. Danny Vance Jr.,PROD-50036,Remote Car Case,1,117.29
15,2024-07-02 13:11:32,lisa95@example.net,Mr. Danny Vance Jr.,PROD-218842,Action Figure Detail,1,22.98
17,2024-10-22 13:11:32,arogers@example.net,Tony Dixon,PROD-185420,Dumbbells Operation,3,98.52
18,2024-08-20 13:11:32,joseph34@example.com,Ruth Simon,PROD-464362,Chocolate Box Catch,2,92.52
19,2024-03-29 13:11:32,amy00@example.org,James James,PROD-179281,Basketball Card,2,58.5
